episode,steps_so_far,ep_reward,ep_length,success,epsilon
1,2844,-8189,2844,1,N/A
2,3459,-1708,615,1,N/A
3,8459,-11632,5000,0,N/A
4,9638,-3576,1179,1,N/A
5,10719,-2622,1081,1,N/A
6,11558,-2172,839,1,N/A
7,12026,-1277,468,1,N/A
8,13198,-2613,1172,1,N/A
9,14118,-2705,920,1,N/A
10,15656,-4467,1538,1,N/A
11,16784,-3345,1128,1,N/A
12,18069,-2866,1285,1,N/A
13,22469,-10105,4400,1,N/A
14,23790,-4014,1321,1,N/A
15,26767,-7910,2977,1,N/A
16,27933,-4159,1166,1,N/A
17,29405,-4321,1472,1,N/A
18,30252,-2484,847,1,N/A
19,31172,-2137,920,1,N/A
20,31914,-1527,742,1,N/A
21,34824,-6559,2910,1,N/A
22,39824,-12912,5000,0,N/A
23,44824,-12048,5000,0,N/A
24,49824,-11648,5000,0,N/A
25,54824,-11796,5000,0,N/A
26,59824,-12612,5000,0,N/A
27,64824,-14176,5000,0,N/A
28,69824,-12188,5000,0,N/A
29,74824,-11684,5000,0,N/A
30,79824,-12432,5000,0,N/A
31,84824,-14052,5000,0,N/A
32,89824,-11456,5000,0,N/A
33,94824,-12676,5000,0,N/A
34,99824,-14384,5000,0,N/A
35,103877,-9490,4053,1,N/A
36,106011,-4591,2134,1,N/A
37,109654,-7920,3643,1,N/A
38,114654,-12420,5000,0,N/A
39,119654,-12424,5000,0,N/A
40,124654,-12108,5000,0,N/A
41,129654,-11484,5000,0,N/A
42,133081,-8624,3427,1,N/A
43,138081,-12684,5000,0,N/A
44,142427,-11747,4346,1,N/A
45,143710,-4752,1283,1,N/A
46,146452,-6479,2742,1,N/A
47,151452,-12536,5000,0,N/A
48,156452,-11452,5000,0,N/A
49,157701,-3966,1249,1,N/A
50,162543,-9931,4842,1,N/A
51,163826,-3208,1283,1,N/A
52,165722,-5329,1896,1,N/A
53,169660,-7939,3938,1,N/A
54,171594,-5535,1934,1,N/A
55,173619,-5110,2025,1,N/A
56,178619,-12828,5000,0,N/A
57,182862,-8648,4243,1,N/A
58,184026,-3717,1164,1,N/A
59,187948,-9123,3922,1,N/A
60,191741,-8942,3793,1,N/A
61,196741,-11300,5000,0,N/A
62,201741,-13652,5000,0,N/A
63,206741,-10760,5000,0,N/A
64,210556,-8876,3815,1,N/A
65,215556,-11976,5000,0,N/A
66,220556,-12328,5000,0,N/A
67,222381,-4750,1825,1,N/A
68,224344,-4384,1963,1,N/A
69,229344,-11888,5000,0,N/A
70,234344,-13860,5000,0,N/A
71,236106,-4011,1762,1,N/A
72,238672,-6783,2566,1,N/A
73,243672,-10420,5000,0,N/A
74,248199,-9020,4527,1,N/A
75,250245,-5487,2046,1,N/A
76,254751,-8899,4506,1,N/A
77,259751,-10680,5000,0,N/A
78,264751,-11480,5000,0,N/A
79,269751,-10812,5000,0,N/A
80,274751,-10532,5000,0,N/A
81,279751,-10548,5000,0,N/A
82,282862,-6748,3111,1,N/A
83,285058,-4901,2196,1,N/A
84,290058,-10636,5000,0,N/A
85,295058,-11184,5000,0,N/A
86,300058,-11312,5000,0,N/A
87,303473,-7460,3415,1,N/A
88,305424,-5308,1951,1,N/A
89,309577,-8622,4153,1,N/A
90,314577,-11572,5000,0,N/A
91,319577,-10124,5000,0,N/A
92,324577,-10316,5000,0,N/A
93,329577,-11816,5000,0,N/A
94,334577,-9432,5000,0,N/A
95,339577,-12156,5000,0,N/A
96,344577,-12876,5000,0,N/A
97,349577,-10056,5000,0,N/A
98,354577,-10048,5000,0,N/A
99,359577,-9820,5000,0,N/A
100,364577,-10520,5000,0,N/A
101,368813,-7605,4236,1,N/A
102,370540,-3948,1727,1,N/A
103,371811,-4164,1271,1,N/A
104,374769,-5615,2958,1,N/A
105,379769,-11060,5000,0,N/A
106,384769,-8792,5000,0,N/A
107,389769,-9156,5000,0,N/A
108,394769,-10528,5000,0,N/A
109,399769,-11720,5000,0,N/A
110,404769,-11096,5000,0,N/A
111,409769,-9312,5000,0,N/A
112,414769,-11104,5000,0,N/A
113,419769,-9272,5000,0,N/A
114,424769,-10112,5000,0,N/A
115,429769,-10124,5000,0,N/A
116,434769,-10636,5000,0,N/A
117,439769,-8960,5000,0,N/A
118,443588,-7008,3819,1,N/A
119,448588,-9300,5000,0,N/A
120,453588,-9236,5000,0,N/A
121,458588,-9392,5000,0,N/A
122,463588,-9288,5000,0,N/A
123,468588,-11180,5000,0,N/A
124,473588,-9260,5000,0,N/A
125,478588,-8416,5000,0,N/A
126,483588,-9592,5000,0,N/A
127,488588,-8968,5000,0,N/A
128,493588,-8212,5000,0,N/A
129,498588,-10432,5000,0,N/A
130,500000,-2664,1412,0,N/A
