episode,steps_so_far,ep_reward,ep_length,success,epsilon
1,1729,-4514,1729,1,0.98553
2,3153,-3917,1424,1,0.95785
3,3618,-1218,465,1,0.94899
4,4875,-3554,1257,1,0.92543
5,5118,-580,243,1,0.92094
6,5407,-754,289,1,0.91563
7,6164,-1998,757,1,0.90187
8,6624,-1273,460,1,0.89361
9,6828,-505,204,1,0.88998
10,8490,-4459,1662,1,0.86088
11,10516,-5295,2026,1,0.82669
12,12416,-4825,1900,1,0.79587
13,15011,-6788,2595,1,0.75562
14,15443,-1029,432,1,0.74911
15,15595,-365,152,1,0.74684
16,20595,-12080,5000,0,0.67577
17,20768,-430,173,1,0.67343
18,22346,-3775,1578,1,0.65251
19,22624,-659,278,1,0.6489
20,25963,-7908,3339,1,0.60698
21,26500,-1322,537,1,0.60049
22,27278,-1687,778,1,0.59122
23,27389,-216,111,1,0.58991
24,27502,-258,113,1,0.58858
25,28193,-1548,691,1,0.5805
26,28274,-162,81,1,0.57956
27,28396,-255,122,1,0.57815
28,28473,-118,77,1,0.57726
29,28610,-330,137,1,0.57568
30,29080,-1091,470,1,0.57029
31,29179,-196,99,1,0.56916
32,29258,-152,79,1,0.56827
33,29322,-101,64,1,0.56754
34,29430,-257,108,1,0.56631
35,29557,-272,127,1,0.56488
36,29629,-125,72,1,0.56407
37,29732,-216,103,1,0.5629
38,29839,-172,107,1,0.5617
