episode,steps_so_far,ep_reward,ep_length,success,epsilon
1,5000,-13604,5000,0,0.88692
2,10000,-13224,5000,0,0.76338
3,10518,-1215,518,1,0.75161
4,15518,-12344,5000,0,0.64691
5,20518,-11556,5000,0,0.5568
6,25518,-10716,5000,0,0.47924
7,30518,-9868,5000,0,0.41249
8,32462,-3841,1944,1,0.38912
9,35156,-5127,2694,1,0.35891
10,36511,-2520,1355,1,0.34461
11,41357,-8927,4846,1,0.29798
12,46357,-8460,5000,0,0.25647
13,50163,-6343,3806,1,0.2288
14,53039,-4605,2876,1,0.20989
15,54684,-2682,1645,1,0.19978
16,55502,-1195,818,1,0.19494
17,56499,-1482,997,1,0.18919
18,57797,-2139,1298,1,0.18197
19,58500,-1140,703,1,0.17817
20,58912,-621,412,1,0.17598
21,60532,-2429,1620,1,0.16763
22,61391,-1296,859,1,0.16337
23,61665,-395,274,1,0.16203
24,62661,-1461,996,1,0.15726
25,62971,-503,310,1,0.1558
26,63223,-381,252,1,0.15463
27,63684,-930,461,1,0.15251
28,64635,-1220,951,1,0.14822
29,65423,-1149,788,1,0.14475
30,66859,-1941,1436,1,0.13865
31,71859,-6136,5000,0,0.11934
32,76859,-5896,5000,0,0.10271
33,80050,-3724,3191,1,0.09334
34,85050,-5836,5000,0,0.08034
35,87063,-2370,2013,1,0.07563
36,90155,-3637,3092,1,0.06893
37,94639,-5101,4484,1,0.06025
38,94736,-134,97,1,0.06008
39,94837,-130,101,1,0.0599
40,95792,-1112,955,1,0.0582
41,98036,-2581,2244,1,0.05441
42,99002,-1119,966,1,0.05286
43,99439,-482,437,1,0.05217
44,100337,-1051,898,1,0.05078
45,101302,-1074,965,1,0.04934
46,106302,-6644,5000,0,0.04246
47,111302,-10460,5000,0,0.03655
48,111986,-1045,684,1,0.03581
49,116073,-5380,4087,1,0.03167
50,121073,-6172,5000,0,0.02726
51,126073,-6892,5000,0,0.02346
52,128698,-3430,2625,1,0.02169
53,128910,-517,212,1,0.02155
54,130767,-2742,1857,1,0.02038
55,135767,-6112,5000,0,0.01754
56,137475,-2277,1708,1,0.01667
57,140917,-4819,3442,1,0.01503
58,141099,-319,182,1,0.01495
59,141198,-296,99,1,0.01491
60,141273,-184,75,1,0.01487
61,141598,-842,325,1,0.01473
62,141849,-280,251,1,0.01462
63,141963,-227,114,1,0.01457
64,142211,-265,248,1,0.01446
65,142436,-238,225,1,0.01436
66,147436,-5532,5000,0,0.01236
67,149695,-2440,2259,1,0.01155
68,149972,-370,277,1,0.01146
69,151806,-2099,1834,1,0.01084
70,152758,-1001,952,1,0.01054
71,154292,-1639,1534,1,0.01006
72,154660,-529,368,1,0.01
73,154933,-286,273,1,0.01
74,156246,-1670,1313,1,0.01
75,157644,-4895,1398,1,0.01
76,157931,-324,287,1,0.01
77,158284,-398,353,1,0.01
78,158961,-842,677,1,0.01
79,159645,-773,684,1,0.01
80,159928,-648,283,1,0.01
81,160023,-100,95,1,0.01
82,160258,-256,235,1,0.01
83,161293,-1176,1035,1,0.01
84,161724,-692,431,1,0.01
85,161942,-243,218,1,0.01
86,162093,-156,151,1,0.01
87,162268,-196,175,1,0.01
88,162432,-173,164,1,0.01
89,162522,-83,90,1,0.01
90,163356,-1275,834,1,0.01
91,163480,-133,124,1,0.01
92,163531,-40,51,1,0.01
93,163594,-108,63,1,0.01
94,163725,-144,131,1,0.01
95,163937,-253,212,1,0.01
96,164016,-76,79,1,0.01
97,164097,-102,81,1,0.01
98,164141,-37,44,1,0.01
99,164179,-31,38,1,0.01
100,164252,-62,73,1,0.01
101,164360,-117,108,1,0.01
102,164419,-48,59,1,0.01
103,164461,-35,42,1,0.01
104,164506,-42,45,1,0.01
105,164554,-57,48,1,0.01
106,164629,-80,75,1,0.01
107,164692,-60,63,1,0.01
108,164774,-171,82,1,0.01
109,164904,-211,130,1,0.01
110,164943,-28,39,1,0.01
111,164989,-47,46,1,0.01
112,168490,-4234,3501,1,0.01
113,168915,-638,425,1,0.01
114,168956,-38,41,1,0.01
115,169003,-68,47,1,0.01
116,169103,-101,100,1,0.01
117,169154,-56,51,1,0.01
118,169191,-34,37,1,0.01
119,169229,-31,38,1,0.01
120,169271,-43,42,1,0.01
121,169311,-41,40,1,0.01
122,169353,-43,42,1,0.01
123,169388,-24,35,1,0.01
124,169429,-38,41,1,0.01
125,169468,-36,39,1,0.01
126,169508,-33,40,1,0.01
127,169545,-26,37,1,0.01
128,169605,-109,60,1,0.01
129,169665,-125,60,1,0.01
130,169758,-314,93,1,0.01
131,169803,-34,45,1,0.01
132,169845,-35,42,1,0.01
133,169886,-30,41,1,0.01
134,169924,-39,38,1,0.01
135,169962,-39,38,1,0.01
136,169999,-26,37,1,0.01
137,170040,-38,41,1,0.01
138,170085,-74,45,1,0.01
139,170129,-45,44,1,0.01
140,170174,-66,45,1,0.01
141,170214,-33,40,1,0.01
142,170321,-336,107,1,0.01
143,170376,-116,55,1,0.01
144,170482,-331,106,1,0.01
145,170520,-31,38,1,0.01
146,170557,-26,37,1,0.01
147,170596,-36,39,1,0.01
148,170660,-153,64,1,0.01
149,170708,-49,48,1,0.01
150,170749,-30,41,1,0.01
151,170790,-30,41,1,0.01
152,170842,-61,52,1,0.01
153,170916,-67,74,1,0.01
154,170962,-39,46,1,0.01
155,171052,-99,90,1,0.01
156,171240,-205,188,1,0.01
157,171471,-236,231,1,0.01
158,171518,-44,47,1,0.01
159,171598,-81,80,1,0.01
160,171692,-95,94,1,0.01
161,171732,-33,40,1,0.01
162,171780,-41,48,1,0.01
163,171826,-47,46,1,0.01
164,171983,-154,157,1,0.01
165,172030,-44,47,1,0.01
166,172110,-81,80,1,0.01
167,172148,-39,38,1,0.01
168,172193,-42,45,1,0.01
169,172240,-44,47,1,0.01
170,172426,-179,186,1,0.01
171,172465,-36,39,1,0.01
172,172503,-31,38,1,0.01
173,172588,-82,85,1,0.01
174,172640,-53,52,1,0.01
175,172696,-57,56,1,0.01
176,172806,-127,110,1,0.01
177,172847,-38,41,1,0.01
178,172966,-164,119,1,0.01
179,173021,-52,55,1,0.01
180,173056,-24,35,1,0.01
